FDI_INR_Crores,FDI_USD_Million,Year,% of Total Inflows
316347.58398,59476.49,2000-17,17.654503780249495
137276.83155,24669.489999999998,2000-17,7.661048998854908
130966.04891,23946.010000000002,2000-17,7.3088612736556025
115185.96101,24293.09,2000-17,6.4282172112662
92622.65995999999,16673.92,2000-17,5.169020353586654
84487.83456999999,14210.880000000001,2000-17,4.715037731710509
76377.63247,14706.9,2000-17,4.262429269108532
70031.17638,13293.09,2000-17,3.9082507050668487
60397.98268,11589.13,2000-17,3.370648196924167
60099.57545999999,9817.47,2000-17,3.353994896376511
55827.56205,10143.46,2000-17,3.1155853724368887
53671.12021,10330.54,2000-17,2.9952401808056006
50106.5924,10043.45,2000-17,2.796313516328757
44155.916919999996,7542.92,2000-17,2.464222398593716
36830.03619,6567.41,2000-17,2.0553847921411292
36383.97726,6493.71,2000-17,2.0304914486648693
33721.16867,6856.16,2000-17,1.881887297095917
29592.58013,5181.49,2000-17,1.6514819275668964
29269.658019999995,5239.23,2000-17,1.6334605172561363
24974.65993,4339.49,2000-17,1.3937682804383482
24290.752070000002,4393.88,2000-17,1.3556012309296799
19357.99067,3617.73,2000-17,1.08031714724003
17215.00878,3313.33,2000-17,0.9607231190447553
15420.827169999999,2712.57,2000-17,0.8605946918960853
13718.9967,2471.41,2000-17,0.7656201323057765
13512.467620000001,2487.81,2000-17,0.7540943024646928
13463.74513,2347.02,2000-17,0.7513752319629797
12478.76861,2271.83,2000-17,0.6964063541323958
9755.443519999999,1738.1599999999999,2000-17,0.5444249402351653
9671.19947,1920.75,2000-17,0.5397235074615153
9196.119929999999,1576.84,2000-17,0.513210602164981
8881.75411,1719.98,2000-17,0.4956666952770369
7943.62418,1416.1999999999998,2000-17,0.44331219903850294
7017.2618999999995,1637.28,2000-17,0.3916144235461682
6801.26815,1291.44,2000-17,0.37956039604922887
6691.47524,1203.91,2000-17,0.3734331504409231
6304.61767,988.5699999999999,2000-17,0.3518436748835092
5678.41701,1014.4399999999999,2000-17,0.31689710826182876
4994.4792,895.95,2000-17,0.2787283873245956
4562.77488,798.55,2000-17,0.2546361358412655
4482.263419999999,861.83,2000-17,0.2501430088287536
3865.1849199999997,697.5,2000-17,0.21570552530541043
3826.3937100000003,760.12,2000-17,0.2135406927027099
3552.8387399999997,634.66,2000-17,0.19827432906809345
3058.23744,565.69,2000-17,0.1706719671005737
3007.0497100000002,551.45,2000-17,0.16781531821640042
2372.73905,449.2,2000-17,0.13241615441077279
2151.841,389.39,2000-17,0.1200884311839651
1819.42919,353.47,2000-17,0.10153742636068946
1523.86512,254.93,2000-17,0.08504279433134918
1231.15458,204.42999999999998,2000-17,0.06870741010007406
1187.46327,195.14999999999998,2000-17,0.06626911615815535
903.67503,167.2,2000-17,0.050431661378709025
903.64,157.68,2000-17,0.05042970644907232
818.2080199999998,128.39,2000-17,0.045661978512324244
517.8557,111.22,2000-17,0.02890012719000803
515.9075399999999,88.39999999999999,2000-17,0.028791405645016855
369.21762,76.12,2000-17,0.0206050376172205
278.36669,67.28,2000-17,0.015534892724868216
122.13363999999999,27.740000000000002,2000-17,0.006815948400642597
41.61542,7.9799999999999995,2000-17,0.0023224441307986067
26.09849,5.12,2000-17,0.0014564861996636377
21.6201,4.0600000000000005,2000-17,0.0012065593559377503
